7/26/2022,-134.44,*,,PAYPAL INST XFER REDACTED AEDIRECTCOL 
7/25/2022,21.19,*,,PAYPAL TRANSFER REDACTED
7/15/2022,100,*,,ATM CASH DEPOSIT ON 07/15 REDACTED
7/13/2022,-36,*,,PURCHASE AUTHORIZED ON 07/12 CASH APP* REDACTED
